index,clean,location_raw,province,location_correct,source
1915,Saint Roch de l'Achigan,Saint-Roch-de-l'Achigan,QC,Saint-Roch-de-l'Achigan,CSD
1916,Saint Roch de Richelieu,Saint-Roch-de-Richelieu,QC,Saint-Roch-de-Richelieu,CSD
1917,Saint Roch des Aulnaies,Saint-Roch-des-Aulnaies,QC,Saint-Roch-des-Aulnaies,CSD
1918,Saint Roch Ouest,Saint-Roch-Ouest,QC,Saint-Roch-Ouest,Manual
1919,Saint Romain,Saint-Romain,QC,Saint-Romain,CSD
1920,Saint Rosaire,Saint-Rosaire,QC,Saint-Rosaire,CSD
1921,Saint Samuel,Saint-Samuel,QC,Saint-Samuel,CSD
1922,Saints Anges,Saints-Anges,QC,Saints-Anges,CSD
1923,Saint Sauveur,Saint-Sauveur,QC,Saint-Sauveur,CSD
1924,Saint Sebastien,Saint-Sébastien,QC,Saint-Sébastien,CSD
1925,,Saint-Siméon,QC,Saint-Siméon,Manual
1926,Saint Simon,Saint-Simon,QC,Saint-Simon,CSD
1927,Saint Simon les Mines,Saint-Simon-les-Mines,QC,Saint-Simon-les-Mines,Manual
1928,Saint Sixte,Saint-Sixte,QC,Saint-Sixte,Manual
1929,Saint Stanislas,Saint-Stanislas,QC,Saint-Stanislas,CSD
1930,Saint Stanislas de Kostka,Saint-Stanislas-de-Kostka,QC,Saint-Stanislas-de-Kostka,CSD
1931,Saint Sulpice,Saint-Sulpice,QC,Saint-Sulpice,CSD
1932,,Saint-Sylvère,QC,Saint-Sylvère,Manual
1933,Saint Sylvestre,Saint-Sylvestre,QC,Saint-Sylvestre,CSD
1934,Saint Tharcisius,Saint-Tharcisius,QC,Saint-Tharcisius,CSD
1935,Saint Theodore d'Acton,Saint-Théodore-d'Acton,QC,Saint-Théodore-d'Acton,CSD
1936,,Saint-Théophile,QC,Saint-Théophile,Manual
1937,Saint Thomas,Saint-Thomas,QC,Saint-Thomas,CSD
1938,Saint Thomas Didyme,Saint-Thomas-Didyme,QC,Saint-Thomas-Didyme,CSD
1939,Saint Thuribe,Saint-Thuribe,QC,Saint-Thuribe,CSD
1940,Saint Tite,Saint-Tite,QC,Saint-Tite,CSD
1941,Saint Tite des Caps,Saint-Tite-des-Caps,QC,Saint-Tite-des-Caps,CSD
1942,Saint Ubalde,Saint-Ubalde,QC,Saint-Ubalde,CSD
1943,Saint Ulric,Saint-Ulric,QC,Saint-Ulric,CSD
1944,Saint Urbain,Saint-Urbain,QC,Saint-Urbain,CSD
1945,Saint Urbain Premier,Saint-Urbain-Premier,QC,Saint-Urbain-Premier,CSD
1946,Saint Valentin,Saint-Valentin,QC,Saint-Valentin,CSD
1947,,Saint-Valère,QC,Saint-Valère,Manual
1948,Saint Valerien,Saint-Valérien,QC,Saint-Valérien,CSD
1949,Saint Vallier,Saint-Vallier,QC,Saint-Vallier,CSD
1950,Saint Vianney,Saint-Vianney,QC,Saint-Vianney,CSD
1951,Saint Victor,Saint-Victor,QC,Saint-Victor,CSD
1952,Saint Wenceslas,Saint-Wenceslas,QC,Saint-Wenceslas,CSD
1953,Saint Zacharie,Saint-Zacharie,QC,Saint-Zacharie,CSD
1954,Saint Zotique,Saint-Zotique,QC,Saint-Zotique,CSD
1955,Salaberry de Valleyfield,Salaberry-de-Valleyfield,QC,Salaberry-de-Valleyfield,CSD
1956,Salluit,Salluit,QC,Salluit,CSD
1957,Salmo,Salmo,BC,Salmo,CSD
1958,Salmon Arm,Salmon Arm,BC,Salmon Arm,CSD
1959,Saltcoats,Saltcoats,SK,Saltcoats,CSD
1960,Sandspit,Sandspit,BC,Sandspit,PC
1961,Sangudo,Sangudo,AB,Sangudo,PC
1962,Sarnia,Sarnia,ON,Sarnia,CSD
1963,Saskatoon,Saskatoon,SK,Saskatoon,CSD
1964,Sauble Beach,Sauble Beach,ON,Sauble Beach,Manual
1965,Saugeen Shores,Saugeen Shores,ON,Saugeen Shores,CSD
1966,Sault Ste Marie,Sault Ste Marie,ON,Sault Ste. Marie,Manual
1967,Savona,Savona,BC,Savona,PC
1968,Sayabec,Sayabec,QC,Sayabec,CSD
1969,Schefferville,Schefferville,QC,Schefferville,CSD
1970,Schomberg,Schomberg,ON,Schomberg,Manual
1971,Schreiber,Schreiber,ON,Schreiber,CSD
1972,Schuler,Schuler,AB,Schuler,PC
1973,Scotch Creek,Scotch Creek,BC,Scotch Creek,PC
1974,Scotland,Scotland,ON,Scotland,Manual
1975,Scotstown,Scotstown,QC,Scotstown,CSD
1976,Scott,Scott,QC,Scott,CSD
1977,Seaforth,Seaforth,ON,Seaforth,Manual
1978,Sebringville,Sebringville,ON,Sebringville,Manual
1979,Sechelt,Sechelt,BC,Sechelt,CSD
1980,Seebe,Seebe,AB,Seebe,Manual
1981,Seguin,Seguin,ON,Seguin,CSD
1982,Selkirk,Selkirk,MB,Selkirk,CSD
1983,Senneterre,Senneterre,QC,Senneterre,CSD
1984,Senneville,Senneville,QC,Senneville,CSD
1985,Sept iles,Sept-Îles,QC,Sept-Îles,CSD
1986,Serpent River,Serpent River,ON,Serpent River,Manual
1987,Seven Persons,Seven Persons,AB,Seven Persons,Manual
1988,Severn,Severn,ON,Severn,CSD
1989,Seymour,Seymour,ON,Seymour,Manual
1990,Shakespeare,Shakespeare,ON,Shakespeare,PC
1991,Shallow Lake,Shallow Lake,ON,Shallow Lake,PC
1992,Shannon,Shannon,QC,Shannon,CSD
1993,Sharon,Sharon,ON,Sharon,Manual
1994,Shawinigan,Shawinigan,QC,Shawinigan,CSD
1995,Shawnigan Lake,Shawnigan Lake,BC,Shawnigan Lake,PC
1996,Shawville,Shawville,QC,Shawville,CSD
1997,Shediac,Shediac,NB,Shediac,CSD
1998,Sheenboro,Sheenboro,QC,Sheenboro,CSD
1999,Shefford,Shefford,QC,Shefford,CSD
2000,Shelburne,Shelburne,NS,Shelburne,CSD
2001,Shelburne,Shelburne,ON,Shelburne,CSD
2002,Shell Lake,Shell Lake,SK,Shell Lake,CSD
2003,Shellbrook,Shellbrook,SK,Shellbrook,CSD
2004,Sherbrooke,Sherbrooke,QC,Sherbrooke,CSD
2005,Sherwood Park,Sherwood Park,AB,Sherwood Park,Manual
2006,Shetland,Shetland,ON,Shetland,Manual
2007,Shigawake,Shigawake,QC,Shigawake,CSD
2008,Shoal Lake,Shoal Lake,ON,Shoal Lake,PC
2009,Shuniah,Shuniah,ON,Shuniah,CSD
2010,Sicamous,Sicamous,BC,Sicamous,CSD
2011,Sidney,Sidney,BC,Sidney,CSD
2012,Siksika,Siksika,AB,Siksika,Manual
2013,Silverton,Silverton,BC,Silverton,CSD
2014,Singhampton,Singhampton,ON,Singhampton,Manual
2015,Sioux Lookout,Sioux Lookout,ON,Sioux Lookout,CSD
2016,Six Nations,Six Nations,ON,Six Nations,Manual
2017,Slave Lake,Slave Lake,AB,Slave Lake,CSD
2018,Smeaton,Smeaton,SK,Smeaton,CSD
2019,Smithers,Smithers,BC,Smithers,CSD
2020,Smiths Falls,Smiths Falls,ON,Smiths Falls,CSD
2021,Smoky Lake,Smoky Lake,AB,Smoky Lake,CSD
2022,Smooth Rock Falls,Smooth Rock Falls,ON,Smooth Rock Falls,CSD
2023,Snow Lake,Snow Lake,MB,Snow Lake,CSD
2024,Snowdon,Snowdon,ON,Snowdon,Manual
2025,Sointula,Sointula,BC,Sointula,PC
2026,Sombra,Sombra,ON,Sombra,Manual
2027,Somerville,Somerville,ON,Somerville,PC
2028,Sooke,Sooke,BC,Sooke,CSD
2029,Sorel Tracy,Sorel-Tracy,QC,Sorel-Tracy,CSD
2030,Sorrento,Sorrento,BC,Sorrento,PC
2031,South Algonquin,South Algonquin,ON,South Algonquin,Manual
2032,South Bruce,South Bruce,ON,South Bruce,CSD
2033,South Bruce Peninsula,South Bruce Peninsula,ON,South Bruce Peninsula,CSD
2034,South Dundas,South Dundas,ON,South Dundas,Manual
2035,South Frontenac,South Frontenac,ON,South Frontenac,CSD
2036,South Glengarry,South Glengarry,ON,South Glengarry,CSD
2037,South Huron,South Huron,ON,South Huron,CSD
2038,South River,South River,ON,South River,CSD
2039,South Stormont,South Stormont,ON,South Stormont,Manual
2040,Southampton,Southampton,ON,Southampton,CSD
2041,Southey,Southey,SK,Southey,CSD
2042,Southgate,Southgate,ON,Southgate,CSD
2043,Southwest Middlesex,Southwest Middlesex,ON,Southwest Middlesex,CSD
2044,Southwold,Southwold,ON,Southwold,CSD
2045,Speers,Speers,SK,Speers,CSD
2046,Spiritwood,Spiritwood,SK,Spiritwood,CSD
2047,Spragge,Spragge,ON,Spragge,Manual
2048,Springbrook,Springbrook,AB,Springbrook,Manual
2049,Springdale,Springdale,NL,Springdale,CSD
2050,Springwater,Springwater,ON,Springwater,CSD
2051,Spruce Grove,Spruce Grove,AB,Spruce Grove,CSD
2052,Spruce View,Spruce View,AB,Spruce View,PC
2053,Squamish,Squamish,BC,Squamish,CSD
2054,St Albert,St Albert,AB,St. Albert,CSD
2055,St Catharines,St Catharines,ON,St. Catharines,CSD
2056,St Clair,St Clair,ON,St. Clair,CSD
2057,St George,St George,ON,St. George,CSD
2058,St Johns,St Johns,NL,St. John's,Manual
2059,St Lina,St Lina,AB,St. Lina,Manual
2060,St Mary,St Mary,ON,Is it St. Marys,Manual
2061,St Marys,St Marys,ON,St. Marys,CSD
2062,St Michael,St Michael,AB,St. Michael,Manual
2063,St Paul,St Paul,AB,St. Paul,CSD
2064,St Thomas,St Thomas,ON,St. Thomas,CSD
2065,St Vincent,St Vincent,AB,St. Vincent,Manual
2066,St Walburg,St Walburg,SK,St. Walburg,CSD
2067,Stanbridge East,Stanbridge East,QC,Stanbridge East,CSD
2068,Stanbridge Station,Stanbridge Station,QC,Stanbridge Station,CSD
2069,Stanhope,Stanhope,ON,Stanhope,PC
2070,Stanstead,Stanstead,QC,Stanstead,CSD
2071,Stanstead Est,Stanstead-Est,QC,Stanstead-Est,CSD
2072,Steinbach,Steinbach,MB,Steinbach,CSD
2073,Stellarton,Stellarton,NS,Stellarton,CSD
2074,Stephenville,Stephenville,NL,Stephenville,CSD
2075,Stettler,Stettler,AB,Stettler,CSD
2076,Stewart,Stewart,BC,Stewart,CSD
2077,Stewiacke,Stewiacke,NS,Stewiacke,CSD
2078,Stirling,Stirling,AB,Stirling,CSD
2079,Stirling Rawdon,Stirling Rawdon,ON,Stirling Rawdon,Manual
2080,Stoke,Stoke,QC,Stoke,CSD
2081,Stone Mills,Stone Mills,ON,Stone Mills,CSD
2082,Stoneham et Tewkesbury,Stoneham-et-Tewkesbury,QC,Stoneham-et-Tewkesbury,CSD
2083,Stonewall,Stonewall,MB,Stonewall,CSD
2084,Stoney Creek,Stoney Creek,ON,Stoney Creek,Manual
2085,Stony Plain,Stony Plain,AB,Stony Plain,CSD
2086,Stornoway,Stornoway,QC,Stornoway,CSD
2087,Stouffville,Stouffville,ON,Stouffville,Manual
2088,Stratford,Stratford,ON,Stratford,CSD
2089,Stratford,Stratford,PE,Stratford,CSD
2090,Stratford,Stratford,QC,Stratford,CSD
2091,Strathmore,Strathmore,AB,Strathmore,CSD
2092,Strathroy,Strathroy,ON,Strathroy,Manual
2093,Stukely Sud,Stukely-Sud,QC,Stukely-Sud,CSD
2094,Sudbury,Sudbury,ON,Sudbury,Manual
2095,Suffield,Suffield,AB,Suffield,PC
2096,Summerland,Summerland,BC,Summerland,CSD
2097,Summerside,Summerside,PE,Summerside,CSD
2098,Sundre,Sundre,AB,Sundre,CSD
2099,Sundridge,Sundridge,ON,Sundridge,CSD
2100,Surrey,Surrey,BC,Surrey,CSD
2101,Sussex,Sussex,NB,Sussex,CSD
2102,Sutton,Sutton,ON,Sutton,CSD
2103,Sutton,Sutton,QC,Sutton,CSD
2104,Swan Hills,Swan Hills,AB,Swan Hills,CSD
2105,Swan River,Swan River,MB,Swan River,CSD
2106,Swift Current,Swift Current,SK,Swift Current,CSD
2107,Sylvan Lake,Sylvan Lake,AB,Sylvan Lake,CSD
2108,Taber,Taber,AB,Taber,CSD
2109,Tadoussac,Tadoussac,QC,Tadoussac,CSD
2110,Tahsis,Tahsis,BC,Tahsis,CSD
2111,Taschereau,Taschereau,QC,Taschereau,CSD
2112,Tasiujaq,Tasiujaq,QC,Tasiujaq,CSD
2113,Tay,Tay,ON,Tay,CSD
2114,Tay Valley,Tay Valley,ON,Tay Valley,Manual
2115,Tecumseh,Tecumseh,ON,Tecumseh,CSD
2116,Teeswater,Teeswater,ON,Teeswater,PC
2117,Tehkummah,Tehkummah,ON,Tehkummah,CSD
2118,Telegraph Cove,Telegraph Cove,BC,Telegraph Cove,Manual
2119,Telkwa,Telkwa,BC,Telkwa,CSD
2120,Temagami,Temagami,ON,Temagami,CSD
2121,Temiscaming,Témiscaming,QC,Témiscaming,CSD
2122,Temiscamingue,Témiscamingue,QC,Témiscamingue,Manual
2123,Temiscouata sur le Lac,Temiscouata sur le Lac,QC,Témiscouata-sur-le-Lac,Manual
2124,Temiskaming Shores,Temiskaming Shores,ON,Temiskaming Shores,CSD
2125,Terrace,Terrace,BC,Terrace,CSD
2126,Terrace Bay,Terrace Bay,ON,Terrace Bay,CSD
2127,Terrasse Vaudreuil,Terrasse-Vaudreuil,QC,Terrasse-Vaudreuil,CSD
2128,Terrebonne,Terrebonne,QC,Terrebonne,CSD
2129,Thames Centre,Thames Centre,ON,Thames Centre,CSD
2130,The Archipelago,The Archipelago,ON,The Archipelago,Manual
2131,The Blue Mountains,The Blue Mountains,ON,The Blue Mountains,CSD
2132,The North Shore,The North Shore,ON,The North Shore,CSD
2133,The Pas,The Pas,MB,The Pas,CSD
2134,Thedford,Thedford,ON,Thedford,PC
2135,Thessalon,Thessalon,ON,Thessalon,CSD
2136,Thetford Mines,Thetford Mines,QC,Thetford Mines,CSD
2137,Thompson,Thompson,MB,Thompson,CSD
2138,Thornbury,Thornbury,ON,Thornbury,Manual
2139,Thorne,Thorne,QC,Thorne,Manual
2140,Thornhill,Thornhill,BC,Thornhill,Manual
2141,Thornloe,Thornloe,ON,Thornloe,CSD
2142,Thorold,Thorold,ON,Thorold,CSD
2143,Three Hills,Three Hills,AB,Three Hills,CSD
2144,Thunder Bay,Thunder Bay,ON,Thunder Bay,CSD
2145,Thurso,Thurso,QC,Thurso,CSD
2146,Tilbury,Tilbury,ON,Tilbury,Manual
2147,Tillsonburg,Tillsonburg,ON,Tillsonburg,CSD
2148,Timiskaming,Timiskaming,ON,Timiskaming,CSD
2149,Timmins,Timmins,ON,Timmins,CSD
2150,Tingwick,Tingwick,QC,Tingwick,CSD
2151,Tiny,Tiny,ON,Tiny,CSD
2152,Tisdale,Tisdale,SK,Tisdale,CSD
2153,Tiverton,Tiverton,ON,Tiverton,PC
2154,Tlell,Tlell,BC,Tlell,PC
2155,Tobermory,Tobermory,ON,Tobermory,Manual
2156,Tofield,Tofield,AB,Tofield,CSD
2157,Tofino,Tofino,BC,Tofino,CSD
2158,Tompkins,Tompkins,SK,Tompkins,CSD
2159,Toronto,Toronto,ON,Toronto,CSD
2160,Tottenham,Tottenham,ON,Tottenham,Manual
2161,Tourville,Tourville,QC,Tourville,CSD
2162,Townsend,Townsend,ON,Townsend,Manual
2163,Trail,Trail,BC,Trail,CSD
2164,Trent Hills,Trent Hills,ON,Trent Hills,CSD
2165,Trenton,Trenton,ON,Trenton,CSD
2166,Trenton,Trenton,NS,Trenton,CSD
2167,,Très-Saint-Rédempteur,QC,Très-Saint-Rédempteur,Manual
2168,,Très-Saint-Sacrement,QC,Très-Saint-Sacrement,Manual
2169,Tring Jonction,Tring-Jonction,QC,Tring-Jonction,CSD
2170,Trois Pistoles,Trois-Pistoles,QC,Trois-Pistoles,CSD
2171,Trois Rives,Trois-Rives,QC,Trois-Rives,CSD
2172,Trois Rivieres,Trois-Rivières,QC,Trois-Rivières,CSD
2173,Truro,Truro,NS,Truro,CSD
2174,Tsawwassen,Tsawwassen,BC,Tsawwassen,CSD
2175,Tumbler Ridge,Tumbler Ridge,BC,Tumbler Ridge,CSD
2176,Turner Valley,Turner Valley,AB,Turner Valley,CSD
2177,Turtleford,Turtleford,SK,Turtleford,CSD
2178,Tweed,Tweed,ON,Tweed,CSD
2179,Twillingate,Twillingate,NL,Twillingate,CSD
2180,Two Hills,Two Hills,AB,Two Hills,CSD
2181,Tyendinaga,Tyendinaga,ON,Tyendinaga,CSD
2182,Uashat,Uashat,QC,Uashat,CSD
2183,Ucluelet,Ucluelet,BC,Ucluelet,CSD
2184,Ulverton,Ulverton,QC,Ulverton,Manual
2185,Umiujaq,Umiujaq,QC,Umiujaq,CSD
2186,Unionville,Unionville,ON,Unionville,Manual
2187,Unity,Unity,SK,Unity,CSD
2188,Upton,Upton,QC,Upton,CSD
2189,Uxbridge,Uxbridge,ON,Uxbridge,CSD
2190,Val Alain,Val-Alain,QC,Val-Alain,CSD
2191,Val Brillant,Val-Brillant,QC,Val-Brillant,CSD
2192,Valcourt,Valcourt,QC,Valcourt,CSD
2193,Val David,Val-David,QC,Val-David,CSD
2194,Val des Bois,Val-des-Bois,QC,Val-des-Bois,CSD
2195,Val des Lacs,Val-des-Lacs,QC,Val-des-Lacs,CSD
2196,Val des Monts,Val-des-Monts,QC,Val-des-Monts,CSD
2197,Val d'Or,Val-d'Or,QC,Val-d'Or,CSD
2198,Valemount,Valemount,BC,Valemount,CSD
2199,Val Joli,Val-Joli,QC,Val-Joli,CSD
2200,Vallee Jonction,Vallee Jonction,QC,Vallée-Jonction,Manual
2201,Vallee Jonction,Vallée-Jonction,QC,Vallée-Jonction,CSD
2202,Valleyview,Valleyview,AB,Valleyview,CSD
2203,Val Morin,Val-Morin,QC,Val-Morin,CSD
2204,Val Racine,Val-Racine,QC,Val-Racine,Manual
2205,Val Saint Gilles,Val-Saint-Gilles,QC,Val-Saint-Gilles,CSD
2206,Vancouver,Vancouver,BC,Vancouver,CSD
2207,Vanderhoof,Vanderhoof,BC,Vanderhoof,CSD
2208,Varennes,Varennes,QC,Varennes,CSD
2209,Vaudreuil Dorion,Vaudreuil-Dorion,QC,Vaudreuil-Dorion,CSD
2210,Vaudreuil Soulanges,Vaudreuil-Soulanges,QC,Vaudreuil-Soulanges,Manual
2211,Vaudreuil sur le Lac,Vaudreuil-sur-le-Lac,QC,Vaudreuil-sur-le-Lac,CSD
2212,Vaughan,Vaughan,ON,Vaughan,CSD
2213,Vauxhall,Vauxhall,AB,Vauxhall,CSD
2214,Vegreville,Vegreville,AB,Vegreville,CSD
2215,Vercheres,Verchères,QC,Verchères,CSD
2216,Vermilion,Vermilion,AB,Vermilion,CSD
2217,Vernon,Vernon,BC,Vernon,CSD
2218,Vernon Bridge,Vernon Bridge,PE,Vernon Bridge,Manual
2219,Victoria,Victoria,BC,Victoria,CSD
2220,Victoriaville,Victoriaville,QC,Victoriaville,CSD
2221,Viking,Viking,AB,Viking,CSD
2222,Ville Marie,Ville-Marie,QC,Ville-Marie,CSD
2223,Villeroy,Villeroy,QC,Villeroy,CSD
2224,Vilna,Vilna,AB,Vilna,Manual
2225,Virden,Virden,MB,Virden,CSD
2226,Viscount,Viscount,SK,Viscount,CSD
2227,Vonda,Vonda,SK,Vonda,CSD
2228,Wabaseemoong,Wabaseemoong,ON,Wabaseemoong,Manual
2229,Wabush,Wabush,NL,Wabush,CSD
2230,Wahgoshig,Wahgoshig,ON,Wahgoshig,Manual
2231,Wainfleet,Wainfleet,ON,Wainfleet,CSD
2232,Wainwright,Wainwright,AB,Wainwright,CSD
2233,Walkerton,Walkerton,ON,Walkerton,Manual
2234,Wallace,Wallace,ON,Wallace,Manual
2235,Wallaceburg,Wallaceburg,ON,Wallaceburg,Manual
2236,Walsh,Walsh,AB,Walsh,PC
2237,Waltham,Waltham,QC,Waltham,CSD
2238,Walton,Walton,ON,Walton,Manual
2239,Warden,Warden,QC,Warden,CSD
2240,Warspite,Warspite,AB,Warspite,PC
2241,Warwick,Warwick,QC,Warwick,CSD
2242,Warwick,Warwick,ON,Warwick,CSD
2243,Wasa,Wasa,BC,Wasa,Manual
2244,Wasaga Beach,Wasaga Beach,ON,Wasaga Beach,CSD
2245,Waskaganish,Waskaganish,QC,Waskaganish,CSD
2246,Waskatenau,Waskatenau,AB,Waskatenau,CSD
2247,Waswanipi,Waswanipi,QC,Waswanipi,CSD
2248,Water Valley,Water Valley,AB,Water Valley,Manual
2249,Waterdown,Waterdown,ON,Waterdown,Manual
2250,Waterford,Waterford,ON,Waterford,CSD
2251,Waterloo,Waterloo,ON,Waterloo,CSD
2252,Waterloo,Waterloo,QC,Waterloo,CSD
2253,Waterville,Waterville,QC,Waterville,CSD
2254,Watford,Watford,ON,Watford,Manual
2255,Watson Lake,Watson Lake,YT,Watson Lake,CSD
2256,Wawa,Wawa,ON,Wawa,CSD
2257,Webequie,Webequie,ON,Webequie,CSD
2258,Weedon,Weedon,QC,Weedon,CSD
2259,Welland,Welland,ON,Welland,CSD
2260,Wellesley,Wellesley,ON,Wellesley,CSD
2261,Wellington,Wellington,ON,Wellington,CSD
2262,Wellington North,Wellington North,ON,Wellington North,CSD
2263,Wells,Wells,BC,Wells,CSD
2264,Wembley,Wembley,AB,Wembley,CSD
2265,Wemindji,Wemindji,QC,Wemindji,CSD
2266,Wemotaci,Wemotaci,QC,Wemotaci,CSD
2267,Wendake,Wendake,QC,Wendake,CSD
2268,Wentworth,Wentworth,QC,Wentworth,CSD
2269,Wentworth Nord,Wentworth-Nord,QC,Wentworth-Nord,CSD
2270,West Elgin,West Elgin,ON,West Elgin,CSD
2271,West Grey,West Grey,ON,West Grey,CSD
2272,West Gwillimbury,West Gwillimbury,ON,West Gwillimbury,Manual
2273,West Kelowna,West Kelowna,BC,West Kelowna,CSD
2274,West Lincoln,West Lincoln,ON,West Lincoln,CSD
2275,West Nipissing,West Nipissing,ON,West Nipissing,CSD
2276,West Perth,West Perth,ON,West Perth,CSD
2277,West Vancouver,West Vancouver,BC,West Vancouver,CSD
2278,Westbank,Westbank,BC,Westbank,PC
2279,Westbury,Westbury,QC,Westbury,CSD
2280,Westlock,Westlock,AB,Westlock,CSD
2281,Westmount,Westmount,QC,Westmount,CSD
2282,Westport,Westport,ON,Westport,CSD
2283,Westville,Westville,NS,Westville,CSD
2284,Wetaskiwin,Wetaskiwin,AB,Wetaskiwin,CSD
2285,Weyburn,Weyburn,SK,Weyburn,CSD
2286,Whapmagoostui,Whapmagoostui,QC,Whapmagoostui,CSD
2287,Whistler,Whistler,BC,Whistler,CSD
2288,Whitby,Whitby,ON,Whitby,CSD
2289,White Fox,White Fox,SK,White Fox,CSD
2290,White River,White River,ON,White River,CSD
2291,White Rock,White Rock,BC,White Rock,CSD
2292,Whitechurch,Whitechurch,ON,Whitechurch,Manual
2293,Whitecourt,Whitecourt,AB,Whitecourt,CSD
2294,Whitefish River,Whitefish River,ON,Whitefish River,Manual
2295,Whitehorse,Whitehorse,YT,Whitehorse,CSD
2296,Whitemouth,Whitemouth,MB,Whitemouth,CSD
2297,Whitesand,Whitesand,ON,Whitesand,Manual
2298,Whitestone,Whitestone,ON,Whitestone,Manual
2299,Whitewood,Whitewood,SK,Whitewood,CSD
2300,Wiarton,Wiarton,ON,Wiarton,Manual
2301,Wickham,Wickham,QC,Wickham,CSD
2302,Wikwemikong Unceded,Wikwemikong Unceded,ON,Wikwemikong Unceded,CSD
2303,Williams Lake,Williams Lake,BC,Williams Lake,CSD
2304,Williamsford,Williamsford,ON,Williamsford,Manual
2305,Willingdon,Willingdon,AB,Willingdon,Manual
2306,Willow Bunch,Willow Bunch,SK,Willow Bunch,CSD
2307,Wilmot,Wilmot,ON,Wilmot,CSD
2308,Windermere,Windermere,BC,Windermere,PC
2309,Windsor,Windsor,ON,Windsor,CSD
2310,Windsor,Windsor,QC,Windsor,CSD
2311,Windsor,Windsor,NS,Windsor,CSD
2312,Wingham,Wingham,ON,Wingham,Manual
2313,Winkler,Winkler,MB,Winkler,CSD
2314,Winnipeg,Winnipeg,MB,Winnipeg,CSD
2315,Wolfville,Wolfville,NS,Wolfville,CSD
2316,Wolinak,Wôlinak,QC,Wôlinak,Manual
2317,Wollaston,Wollaston,ON,Wollaston,CSD
2318,Wolseley,Wolseley,SK,Wolseley,CSD
2319,Woodham,Woodham,ON,Woodham,Manual
2320,Woodstock,Woodstock,ON,Woodstock,CSD
2321,Woodstock,Woodstock,NB,Woodstock,CSD
2322,Woodville,Woodville,ON,Woodville,PC
2323,Woolwich,Woolwich,ON,Woolwich,CSD
2324,Worsley,Worsley,AB,Worsley,Manual
2325,Wotton,Wotton,QC,Wotton,CSD
2326,Wroxeter,Wroxeter,ON,Wroxeter,Manual
2327,Wynyard,Wynyard,SK,Wynyard,CSD
2328,Wyoming,Wyoming,ON,Wyoming,Manual
2329,Yamachiche,Yamachiche,QC,Yamachiche,CSD
2330,Yamaska,Yamaska,QC,Yamaska,CSD
2331,Yarmouth,Yarmouth,NS,Yarmouth,CSD
2332,Yellowknife,Yellowknife,NT,Yellowknife,CSD
2333,Yorkton,Yorkton,SK,Yorkton,CSD
2334,Zama City,Zama City,AB,Zama City,Manual
2335,Zorra,Zorra,ON,Zorra,CSD
2336,Zurich,Zurich,ON,Zurich,PC
