items,item_type,esdc_domain,edit_type,edit_reason,LMIC_Label,March_4_add,edit_type_software
Microsoft Lync,Tools and technology,Tools and technology,Tools and technology,replaced by Microsoft teams,Microsoft Lync,0,Tech - Software
Microsoft MapPoint,Tools and technology,Tools and technology,Tools and technology,Discontinued,Microsoft MapPoint,0,Tech - Software
Microsoft NetMeeting,Tools and technology,Tools and technology,Tools and technology,Discontinued in 2007 - previously part of MS office,Microsoft NetMeeting,0,Tech - Software
Microsoft Network Monitor,Tools and technology,Tools and technology,Tools and technology,,Microsoft Network Monitor,0,Tech - Software
Microsoft Office,Tools and technology,Tools and technology,Tools and technology,,Microsoft Office,0,Tech - Software
Microsoft Office Mobile,Tools and technology,Tools and technology,Tools and technology,,Microsoft Office,0,Tech - Software
Microsoft operating system,Tools and technology,Tools and technology,Tools and technology,,Microsoft Windows,0,Tech - Software
Microsoft Outlook,Tools and technology,Tools and technology,Tools and technology,,Microsoft Outlook,0,Tech - Software
Microsoft Paint,Tools and technology,Tools and technology,Tools and technology,,Microsoft Paint,0,Tech - Software
Microsoft Power BI,Tools and technology,Tools and technology,Tools and technology,,DOT NET,0,Tech - Software
Microsoft Power Query Excel,Tools and technology,Tools and technology,Tools and technology,,Microsoft Power BI,0,Tech - Software
Microsoft PowerPivot,Tools and technology,Tools and technology,Tools and technology,,Microsoft Power BI,0,Tech - Software
Microsoft PowerPoint,Tools and technology,Tools and technology,Tools and technology,,Microsoft PowerPoint,0,Tech - Software
Microsoft PowerShell,Tools and technology,Tools and technology,Tools and technology,,Microsoft PowerShell,0,Tech - Software
Microsoft Project,Tools and technology,Tools and technology,Tools and technology,,Microsoft Project,0,Tech - Software
Microsoft Publisher,Tools and technology,Tools and technology,Tools and technology,,Microsoft Publisher,0,Tech - Software
Microsoft SharePoint,Tools and technology,Tools and technology,Tools and technology,,Microsoft SharePoint,0,Tech - Software
Microsoft Silverlight,Tools and technology,Tools and technology,Tools and technology,,Microsoft Silverlight,0,Tech - Software
Microsoft SQL Server,Tools and technology,Tools and technology,Tools and technology,,Microsoft SQL Server Reporting and Integration Services,0,Tech - Software
Microsoft SQL Server Integration Services SSIS,Tools and technology,Tools and technology,Tools and technology,,Microsoft SQL Server Reporting and Integration Services,0,Tech - Software
Microsoft SQL Server Reporting Services,Tools and technology,Tools and technology,Tools and technology,,Microsoft SQL Server Reporting and Integration Services,0,Tech - Software
Microsoft SQL Server Reporting Services (SSRS),Tools and technology,Tools and technology,Tools and technology,,Microsoft SQL Server Reporting and Integration Services,0,Tech - Software
Microsoft suite,Tools and technology,Tools and technology,Tools and technology,,Microsoft Office,0,Tech - Software
Microsoft System Center,Tools and technology,Tools and technology,Tools and technology,,Microsoft Systems Management Server,0,Tech - Software
Microsoft Systems Management Server,Tools and technology,Tools and technology,Tools and technology,,Microsoft Systems Management Server,0,Tech - Software
Microsoft Team Foundation Server,Tools and technology,Tools and technology,Tools and technology,,Microsoft Azure,0,Tech - Software
Microsoft Virtual Server,Tools and technology,Tools and technology,Tools and technology,,Microsoft Azure,0,Tech - Software
Microsoft Visio,Tools and technology,Tools and technology,Tools and technology,,Microsoft Visio,0,Tech - Software
Microsoft Visual Basic,Tools and technology,Tools and technology,Tools and technology,,Microsoft Visual Basic,0,Tech - Software
Microsoft Visual Basic for Applications (VBA),Tools and technology,Tools and technology,Tools and technology,,Microsoft Visual Basic for Applications (VBA),0,Tech - Software
Microsoft Visual Basic Scripting Edition (VBScript),Tools and technology,Tools and technology,Tools and technology,,Microsoft Visual Basic Scripting Edition (VBScript),0,Tech - Software
Microsoft Visual Basic.NET,Tools and technology,Tools and technology,Tools and technology,,Microsoft Visual Basic.NET,0,Tech - Software
Microsoft Visual C#,Tools and technology,Tools and technology,Tools and technology,This is just saying know both visual basic and C language,Microsoft Visual C#,0,Tech - Software
Microsoft Visual FoxPro,Tools and technology,Tools and technology,Tools and technology,Discontinued eary 90s,Microsoft Visual FoxPro,0,Tech - Software
Microsoft Visual SourceSafe,Tools and technology,Tools and technology,Tools and technology,Versioning within visual studio,Microsoft Visual Studio,0,Tech - Software
Microsoft Visual Studio,Tools and technology,Tools and technology,Tools and technology,,Microsoft Visual Studio,0,Tech - Software
Microsoft Visual Studio Team Foundation Server,Tools and technology,Tools and technology,Tools and technology,,Microsoft Azure,0,Tech - Software
Microsoft Windows,Tools and technology,Tools and technology,Tools and technology,,Microsoft Windows,0,Tech - Software
Microsoft Windows Mobile,Tools and technology,Tools and technology,Tools and technology,,Microsoft Windows,0,Tech - Software
Microsoft Windows PowerShell,Tools and technology,Tools and technology,Tools and technology,,Microsoft PowerShell,0,Tech - Software
Microsoft Windows Server,Tools and technology,Tools and technology,Tools and technology,,Microsoft Windows Server,0,Tech - Software
Microsoft Windows Sysprep,Tools and technology,Tools and technology,Tools and technology,,Microsoft Windows Sysprep,0,Tech - Software
Microsoft Windows XP,Tools and technology,Tools and technology,Tools and technology,,Microsoft Windows,0,Tech - Software
Microsoft Windows XP Professional,Tools and technology,Tools and technology,Tools and technology,,Microsoft Windows,0,Tech - Software
Microsoft Word,Tools and technology,Tools and technology,Tools and technology,,Microsoft Word,0,Tech - Software
Microsoft Works,Tools and technology,Tools and technology,Tools and technology,,Microsoft Works,0,Tech - Software
MicroStrategy,Other,Work context,Tools and technology,Software - business analytics,MicroStrategy,0,Tech - Software
Microtomes,Tools and technology,Tools and technology,Tools and technology,,Microtomes,0,Tools and technology
Milano Spa,Tools and technology,Tools and technology,Remove,,,0,remove
Milking equipment,Tools and technology,Tools and technology,Tools and technology,,Milking equipment,0,Tools and technology
Milling equipment,Tools and technology,Tools and technology,Tools and technology,,Milling equipment,0,Tools and technology
Milling machines,Tools and technology,Tools and technology,Tools and technology,,Milling machines,0,Tools and technology
"MIMO (multiple input, multiple output)",Knowledge,Knowledge,Knowledge,,"MIMO (multiple input, multiple output)",0,Knowledge
MINDBODY,Tools and technology,Tools and technology,Tools and technology,,MINDBODY,0,Tech - Software
Mine Planning Software,Tools and technology,Tools and technology,Tools and technology,,Mine Planning Software,0,Tech - Software
MineSight,Tools and technology,Tools and technology,Tools and technology,,MineSight,0,Tech - Software
Mining shovels,Tools and technology,Tools and technology,Tools and technology,,Mining shovels,0,Tools and technology
Minitab,Tools and technology,Tools and technology,Tools and technology,,Minitab,0,Tech - Software
Miter saws,Tools and Equipment,,Tools and technology,,Miter saws,1,Tools and technology
Mixer trucks,Tools and technology,Tools and technology,Tools and technology,,Mixer trucks,0,Tools and technology
Mixing machines,Tools and technology,Tools and technology,Tools and technology,,Mixing machines,0,Tools and technology
Mixing tanks,Tools and technology,Tools and technology,Tools and technology,,Mixing tanks,0,Tools and technology
Mobile application software,Tools and technology,Tools and technology,Tools and technology,,Mobile application software,0,Tech - Software
Mobile cone penetrometer MCP systems,Tools and technology,Tools and technology,Tools and technology,,Mobile cone penetrometer MCP systems,0,Tools and technology
Mobile cranes,Tools and technology,Tools and technology,Tools and technology,,Mobile cranes,0,Tools and technology
Mobile data terminals,Tools and technology,Tools and technology,Tools and technology,,Mobile data terminals,0,Tools and technology
Mobile radios,Tools and technology,Tools and technology,Tools and technology,,Mobile radios,0,Tools and technology
Mobile robots,Tools and technology,Tools and technology,Tools and technology,,Mobile robots,0,Tools and technology
Modeling software,Tools and technology,Tools and technology,Tools and technology,,Modeling software,0,Tech - Software
Modems,Tools and technology,Tools and technology,Tools and technology,,Modems,0,Tools and technology
Moisture analyzers,Tools and technology,Tools and technology,Tools and technology,,Moisture analyzers,0,Tools and technology
MongoDB,Tools and technology,Tools and technology,Tools and technology,,MongoDB,0,Tech - Software
Moodle,Tools and technology,Tools and technology,Tools and technology,,Moodle,0,Tech - Software
Mooring lines,Tools and technology,Tools and technology,Tools and technology,,Mooring lines,0,Tools and technology
Mortars,Tools and technology,Tools and technology,Tools and technology,,Mortars,0,Tools and technology
Motion capture systems,Tools and technology,Tools and technology,Tools and technology,,Motion capture systems,0,Tools and technology
Motion control systems,Tools and technology,Tools and technology,Tools and technology,,Motion control systems,0,Tools and technology
Motion graphics software,Technologies,,Tools and technology,,Motion graphics software,1,Tech - Software
Motor graders,Tools and technology,Tools and technology,Tools and technology,,Motor graders,0,Tools and technology
Motorized hand trucks,Tools and technology,Tools and technology,Tools and technology,,Motorized hand trucks,0,Tools and technology
Mountain bikes,Tools and technology,Tools and technology,Tools and technology,,Mountain bikes,0,Tools and technology
Mouth guards,Tools and technology,Tools and technology,Tools and technology,,Mouth guards,0,Tools and technology
Moving carts,Tools and technology,Tools and technology,Tools and technology,,Moving carts,0,Tools and technology
Mowing equipment,Tools and technology,Tools and technology,Tools and technology,,Mowing equipment,0,Tools and technology
Mozilla Firefox,Tools and technology,Tools and technology,Tools and technology,,Mozilla Firefox,0,Tech - Software
MP3 players,Tools and Equipment,,Tools and technology,,MP3 players,1,Tools and technology
MRP software,Tools and technology,Tools and technology,Tools and technology,,MRP software,0,Tech - Software
Multi-line optical character reader OCR software,Tools and technology,Tools and technology,Tools and technology,,Multi-line optical character reader OCR software,0,Tech - Software
Multi-line telephone systems,Tools and technology,Tools and technology,Tools and technology,,Multi-line telephone systems,0,Tools and technology
Multimeters,Tools and technology,Tools and technology,Tools and technology,,Multimeters,0,Tools and technology
Multi-tasking,Skills,Skills,Skills,,Multi-tasking,0,Skills
MySQL,Tools and technology,Tools and technology,Tools and technology,,MySQL,0,Tech - Software
Nagios,Tools and technology,Tools and technology,Tools and technology,,Nagios Core,0,Tech - Software
Nail guns,Tools and technology,Tools and technology,Tools and technology,,Nail guns,0,Tools and technology
National Instruments LabVIEW,Tools and technology,Tools and technology,Tools and technology,,National Instruments LabVIEW,0,Tech - Software
National pollutant discharge elimination system NPDES compliance software,Tools and technology,Tools and technology,Tools and technology,,National pollutant discharge elimination system NPDES compliance software,0,Tech - Software
National Safety Code of Canada,Knowledge,Knowledge,Knowledge,,National Safety Code of Canada,0,Knowledge
Natural Language Processing (NLP) / Computational Linguistics,Knowledge,Knowledge,Tools and technology,yes?,Natural Language Processing (NLP) / Computational Linguistics,0,Tech - Software
Navigation equipment,Tools and technology,Tools and technology,Tools and technology,,Navigation equipment,0,Tools and technology
Navigation software,Tools and technology,Tools and technology,Tools and technology,,Navigation software,0,Tech - Software
Needle nose pliers,Tools and technology,Tools and technology,Tools and technology,,Needle nose pliers,0,Tools and technology
Negotiation skills,Skills,Skills,Skills,,Negotiation skills,0,Skills
Nessus,Tools and technology,Tools and technology,Tools and technology,,Nessus,0,Tech - Software
NetIQ,Tools and technology,Tools and technology,Tools and technology,,NetIQ,0,Tech - Software
netstat,Tools and technology,Tools and technology,Tools and technology,,Netstat,0,Tech - Software
NetSuite,Tools and technology,Tools and technology,Tools and technology,,NetSuite,0,Tech - Software
Network addressable storage NAS software,Tools and technology,Tools and technology,Tools and technology,,Network addressable storage NAS software,0,Tech - Software
Network Administration,Other,Work activities,Knowledge,sounds like a task,Network Administration,0,Knowledge
Network analyzers,Tools and technology,Tools and technology,Tools and technology,,Network analyzers,0,Tools and technology
Network Communications,Knowledge,Knowledge,Knowledge,,Network Communications,0,Knowledge
Network design software,Tools and technology,Tools and technology,Tools and technology,,Network design software,0,Tech - Software
Network management software,Tools and technology,Tools and technology,Tools and technology,,Network management software,0,Tech - Software
Network routers,Tools and technology,Tools and technology,Tools and technology,,Network routers,0,Tools and technology
Network switches,Tools and technology,Tools and technology,Tools and technology,,Network switches,0,Tools and technology
Network video recorders,Tools and technology,Tools and technology,Tools and technology,,Network video recorders,0,Tools and technology
Network-Attached Storage,Other,?,Knowledge, Network storage system,Network-Attached Storage,0,Knowledge
Neural Networks,Knowledge,Knowledge,Knowledge,,Neural Networks,0,Knowledge
Nmap,Tools and technology,Tools and technology,Tools and technology,,Nmap,0,Tech - Software
NodeJS,Tools and technology,Tools and technology,Tools and technology,,Node.js,0,Tech - Software
NoSQL,Tools and technology,Tools and technology,Tools and technology,,NoSQL,0,Tech - Software
Novell GroupWise,Tools and technology,Tools and technology,Tools and technology,,Novell GroupWise,0,Tech - Software
Nslookup,Tools and technology,Tools and technology,Tools and technology,,NsLookup,0,Tech - Software
Nuclear densometers,Tools and technology,Tools and technology,Tools and technology,,Nuclear densometers,0,Tools and technology
Nunit,Tools and technology,Tools and technology,Tools and technology,,NUnit,0,Tech - Software
Oasys,Tools and technology,Tools and technology,Tools and technology,,Oasys,0,Tech - Software
OAuth (Open Authorization),Tools and technology,Tools and technology,Knowledge,,OAuth (Open Authorization),0,Knowledge
Objective C,Knowledge,Knowledge,Tools and technology,,Objective-C,0,Tech - Software
Object-oriented programming languages,Knowledge,Knowledge,Tools and technology,,Object-oriented programming languages,0,Tech - Software
Occupational Health and Safety,Knowledge,Knowledge,Knowledge,,Occupational Health and Safety Act,0,Knowledge
Occupational Health and Safety Act,Knowledge,Knowledge,Knowledge,,Occupational Health and Safety Act,0,Knowledge
Office Administration,Other,Work activities,Knowledge,Task,Office Administration,0,Knowledge
Office suite software,Tools and technology,Tools and technology,Tools and technology,,Office suite software,0,Tech - Software
OHSA standards,Knowledge,Knowledge,Knowledge,,Occupational Health and Safety Act,0,Knowledge
OHSAS 18001,Knowledge,Knowledge,Knowledge,,Occupational Health and Safety Act,0,Knowledge
Oil filters,Tools and technology,Tools and technology,Tools and technology,,Oil filters,0,Tools and technology
On-board computers,Tools and technology,Tools and technology,Tools and technology,,On-board computers,0,Tools and technology
Online Advertising,Other,Work activities,Knowledge,Task,Online Advertising,0,Knowledge
Online analytical processing OLAP software,Tools and technology,Tools and technology,Tools and technology,,Online analytical processing OLAP software,0,Tech - Software
Online databases,Tools and technology,Tools and technology,Tools and technology,,Online databases,0,Tech - Software
Online meeting software,Tools and technology,Tools and technology,Tools and technology,,Online meeting software,0,Tech - Software
Ontario Employment Legislation (ESA),Knowledge,Knowledge,Knowledge,,Ontario Employment Legislation (ESA),0,Knowledge
Open Computing Language (OpenCL),Knowledge,Knowledge,Tools and technology,,Open Computing Language (OpenCL),0,Tech - Software
Open Dental,Tools and technology,Tools and technology,Tools and technology,,Open Dental,0,Tech - Software
Open end wrenches,Tools and technology,Tools and technology,Tools and technology,,Open end wrenches,0,Tools and technology
OpenGL,Tools and technology,Tools and technology,Tools and technology,,OpenGL,0,Tech - Software
OpenTable,Other,Work context,Tools and technology,Online reservation system for restaurants,OpenTable,0,Tech - Software
OpenText eDOCS DM,Tools and technology,Tools and technology,Tools and technology,,OpenText eDOCS DM,0,Tech - Software
OpenText Livelink ECM,Tools and technology,Tools and technology,Tools and technology,,OpenText Livelink ECM,0,Tech - Software
Operating system software,Tools and technology,Tools and technology,Tools and technology,,Operating system software,0,Tech - Software
Operations Management,Other,Work activities,Knowledge,,Operations Management,0,Knowledge
Optical character reader OCR software,Tools and technology,Tools and technology,Tools and technology,,Optical character recognition OCR software,0,Tech - Software
Optical character recognition OCR software,Tools and technology,Tools and technology,Tools and technology,,Optical character recognition OCR software,0,Tech - Software
Optical price scanners,Tools and technology,Tools and technology,Tools and technology,,Optical price scanners,0,Tools and technology
Optical scanners,Tools and Equipment,,Tools and technology,,Optical scanners,1,Tools and technology
Optical sensors,Tools and technology,Tools and technology,Tools and technology,,Optical sensors,0,Tools and technology
Optimization software,Tools and technology,Tools and technology,Tools and technology,,Optimization software,0,Tech - Software
Oracle,Tools and technology,Tools and technology,Tools and technology,,Oracle,0,Tech - Software
Oracle Advanced Procurement,Tools and technology,Tools and technology,Tools and technology,,Oracle Advanced Procurement,0,Tech - Software
Oracle Application Express APEX,Tools and technology,Tools and technology,Tools and technology,,Oracle Application Express APEX,0,Tech - Software
Oracle Application Server,Tools and technology,Tools and technology,Tools and technology,,Oracle Application Server,0,Tech - Software
Oracle Beehive,Tools and technology,Tools and technology,Tools and technology,,Oracle Beehive,0,Tech - Software
Oracle Business Intelligence Enterprise Edition,Tools and technology,Tools and technology,Tools and technology,,Oracle Business Intelligence Suite,0,Tech - Software
Oracle Business Intelligence Suite,Tools and technology,Tools and technology,Tools and technology,,Oracle Business Intelligence Suite,0,Tech - Software
Oracle Data Guard,Tools and technology,Tools and technology,Tools and technology,,Oracle Data Guard,0,Tech - Software
Oracle Data Integrator,Tools and technology,Tools and technology,Tools and technology,,Oracle Data Integrator,0,Tech - Software
Oracle DBMS,Tools and technology,Tools and technology,Tools and technology,,Oracle DBMS,0,Tech - Software
Oracle Designer,Tools and technology,Tools and technology,Tools and technology,,Oracle Designer,0,Tech - Software
Oracle E-Business Suite,Tools and technology,Tools and technology,Tools and technology,,Oracle E-Business Suite,0,Tech - Software
Oracle Eloqua,Tools and technology,Tools and technology,Tools and technology,,Oracle Eloqua,0,Tech - Software
Oracle Enterprise Asset Management eAM,Tools and technology,Tools and technology,Tools and technology,,Oracle E-Business Suite,0,Tech - Software
Oracle Enterprise Manager,Tools and technology,Tools and technology,Tools and technology,,Oracle Enterprise Manager,0,Tech - Software
Oracle Essbase,Tools and technology,Tools and technology,Tools and technology,,Oracle Essbase,0,Tech - Software
Oracle Fusion Applications,Tools and technology,Tools and technology,Tools and technology,,Oracle Fusion Applications,0,Tech - Software
Oracle Fusion Middleware,Tools and technology,Tools and technology,Tools and technology,,Oracle Fusion Middleware,0,Tech - Software
Oracle Golden Gate,Tools and technology,Tools and technology,Tools and technology,,Oracle Golden Gate,0,Tech - Software
Oracle HRIS,Tools and technology,Tools and technology,Tools and technology,,Oracle HRIS,0,Tech - Software
Oracle Hyperion,Tools and technology,Tools and technology,Tools and technology,,Oracle Hyperion,0,Tech - Software
Oracle Hyperion Planning,Tools and technology,Tools and technology,Tools and technology,,Oracle Hyperion,0,Tech - Software
Oracle Inventory,Tools and technology,Tools and technology,Tools and technology,,Oracle Inventory,0,Tech - Software
Oracle JD Edwards EnterpriseOne,Tools and technology,Tools and technology,Tools and technology,,Oracle JD Edwards,0,Tech - Software
Oracle JDBC,Tools and technology,Tools and technology,Tools and technology,,Oracle JDBC,0,Tech - Software
Oracle Jdeveloper,Tools and technology,Tools and technology,Tools and technology,,Oracle Jdeveloper,0,Tech - Software
Oracle Learning Management,Tools and technology,Tools and technology,Tools and technology,,Oracle Learning Management,0,Tech - Software
Oracle PeopleSoft,Tools and technology,Tools and technology,Tools and technology,,Oracle PeopleSoft,0,Tech - Software
Oracle PeopleSoft Enterprise,Tools and technology,Tools and technology,Tools and technology,,Oracle PeopleSoft,0,Tech - Software
Oracle PeopleSoft Financials,Tools and technology,Tools and technology,Tools and technology,,Oracle PeopleSoft,0,Tech - Software
Oracle PeopleSoft Human Capital Management,Tools and technology,Tools and technology,Tools and technology,,Oracle PeopleSoft,0,Tech - Software
Oracle Recovery Manager,Tools and technology,Tools and technology,Tools and technology,,Oracle Recovery Manager,0,Tech - Software
Oracle Reports,Tools and technology,Tools and technology,Tools and technology,,Oracle Reports,0,Tech - Software
Oracle Siebel CRM,Tools and technology,Tools and technology,Tools and technology,,Oracle Siebel CRM,0,Tech - Software
Oracle Solaris,Tools and technology,Tools and technology,Tools and technology,,Oracle Solaris,0,Tech - Software
Oracle Solaris Zones,Technologies,,Tools and technology,,Oracle Solaris,1,Tech - Software
Oracle SQL Developer,Tools and technology,Tools and technology,Tools and technology,,Oracle SQL Developer,0,Tech - Software
Oracle SQL Loader,Tools and technology,Tools and technology,Tools and technology,,Oracle SQL Loader,0,Tech - Software
Oracle SQL Plus,Tools and technology,Tools and technology,Tools and technology,,Oracle SQL Plus,0,Tech - Software
Oracle Taleo,Tools and technology,Tools and technology,Tools and technology,,Oracle Taleo,0,Tech - Software
Oracle Warehouse Builder,Tools and technology,Tools and technology,Tools and technology,,Oracle Warehouse Builder,0,Tech - Software
Oracle WebLogic,Tools and technology,Tools and technology,Tools and technology,,Oracle WebLogic,0,Tech - Software
Oracle WebLogic Server,Tools and technology,Tools and technology,Tools and technology,,Oracle WebLogic,0,Tech - Software
Orbital sanders,Tools and technology,Tools and technology,Tools and technology,,Orbital sanders,0,Tools and technology
OrCAD Capture,Tools and technology,Tools and technology,Tools and technology,,OrCAD Capture,0,Tech - Software
Order management software,Tools and technology,Tools and technology,Tools and technology,,Order management software,0,Tech - Software
Order selectors,Tools and technology,Tools and technology,Tools and technology,,Order selectors,0,Tools and technology
Ordering software,Tools and technology,Tools and technology,Tools and technology,,Ordering software,0,Tech - Software
Organizational Development,Other,Work activities,Skills,,Organizational Development,0,Skills
Organizational Skills,Skills,Skills,Skills,,Organizational Skills,0,Skills
Orthotic devices,Tools and technology,Tools and technology,Tools and technology,,Orthotic devices,0,Tools and technology
Orthotics,Tools and technology,Tools and technology,Tools and technology,,Orthotics,0,Tools and technology
Oscilloscopes,Tools and technology,Tools and technology,Tools and technology,,Oscilloscopes,0,Tools and technology
Ostomy equipment,Tools and technology,Tools and technology,Tools and technology,,Ostomy equipment,0,Tools and technology
Outage management system OMS,Tools and technology,Tools and technology,Tools and technology,,Outage management system OMS,0,Tech - Software
Overhead cranes,Tools and technology,Tools and technology,Tools and technology,,Overhead cranes,0,Tools and technology
Overhead hoists,Tools and technology,Tools and technology,Tools and technology,,Overhead hoists,0,Tools and technology
Overhead projectors,Tools and Equipment,,Tools and technology,,Overhead projectors,1,Tools and technology
Oxygen cylinders,Tools and technology,Tools and technology,Tools and technology,,Oxygen cylinders,0,Tools and technology
Oxygen delivery equipment,Tools and technology,Tools and technology,Tools and technology,,Oxygen delivery equipment,0,Tools and technology
Oxygen equipment,Tools and technology,Tools and technology,Tools and technology,,Oxygen equipment,0,Tools and technology
Oxygen lances,Tools and technology,Tools and technology,Tools and technology,,Oxygen lances,0,Tools and technology
Oxygen tanks,Tools and technology,Tools and technology,Tools and technology,,Oxygen tanks,0,Tools and technology
Oxygen therapy equipment,Tools and technology,Tools and technology,Tools and technology,,Oxygen therapy equipment,0,Tools and technology
Oxygen tubing,Tools and technology,Tools and technology,Tools and technology,,Oxygen tubing,0,Tools and technology
Pacemakers,Tools and technology,Tools and technology,Tools and technology,,Pacemakers,0,Tools and technology
Packaging machines,Tools and technology,Tools and technology,Tools and technology,,Packaging machines,0,Tools and technology
Packet analyzers,Technologies,,Tools and technology,,Packet analyzers,1,Tech - Software
Packet sniffers,Tools and technology,Tools and technology,Tools and technology,,Packet analyzers,0,Tech - software
Paging systems,Tools and technology,Tools and technology,Tools and technology,,Paging systems,0,Tools and technology
Paint guns,Tools and technology,Tools and technology,Tools and technology,,Paint spraying equipment,0,Tools and technology
Paint shakers,Tools and Equipment,,Tools and technology,,Paint shakers,1,Tools and technology
Paint spray guns,Tools and technology,Tools and technology,Tools and technology,,Paint spraying equipment,0,Tools and technology
Paint spraying equipment,Tools and technology,Tools and technology,Tools and technology,,Paint spraying equipment,0,Tools and technology
Pallet jacks,Tools and technology,Tools and technology,Tools and technology,,Pallet jacks,0,Tools and technology
Panel boards,Tools and technology,Tools and technology,Tools and technology,,Panel boards,0,Tools and technology
Panel saws,Tools and technology,Tools and technology,Tools and technology,,Panel saws,0,Tools and technology
Panelboards,Tools and technology,Tools and technology,Tools and technology,,Panel boards,0,Tools and technology
Parachutes,Tools and technology,Tools and technology,Tools and technology,,Parachutes,0,Tools and technology
Parasoft SOAtest,Tools and technology,Tools and technology,Tools and technology,,Parasoft SOAtest,0,Tech - Software
Parking signs,Tools and technology,Tools and technology,Tools and technology,,Parking signs,0,Tools and technology
PARTHENON,Technologies,,Tools and technology,,PARTHENON,1,Tech - Software
Particulate filters,Tools and technology,Tools and technology,Tools and technology,,Particulate filters,0,Tools and technology
Parts washers,Tools and technology,Tools and technology,Tools and technology,,Parts washers,0,Tools and technology
Pascal,Knowledge,Knowledge,Tools and technology,,Pascal,0,Tech - Software
Passenger buses,Tools and technology,Tools and technology,Tools and technology,,Passenger buses,0,Tools and technology
Pasta cookers,Tools and technology,Tools and technology,Tools and technology,,Pasta cookers,0,Tools and technology
Patch management software,Tools and technology,Tools and technology,Tools and technology,,Patch management software,0,Tech - Software
Patient electronic medical record EMR software,Tools and technology,Tools and technology,Tools and technology,,Electronic Medical Record EMR systems and software,0,Tech - Software
Patient management software,Tools and technology,Tools and technology,Tools and technology,,Patient management software,0,Tech - Software
PatternMaker,Tools and technology,Tools and technology,Tools and technology,,PatternMaker,0,Tech - Software
Pavement breakers,Tools and technology,Tools and technology,Tools and technology,,Pavement breakers,0,Tools and technology
Payment processing software,Tools and technology,Tools and technology,Tools and technology,,Payment processing software,0,Tech - Software
PayPal,Tools and technology,Tools and technology,Tools and technology,,PayPal,0,Tech - Software
Payroll software,Tools and technology,Tools and technology,Tools and technology,,Payroll software,0,Tech - Software
PC Miler,Tools and technology,Tools and technology,Tools and technology,Trucking software,PC Miler,0,Tech - Software
PCB / PCBA (Printed Circuit Board / Assembly),Tools and technology,Tools and technology,Knowledge,,PCB / PCBA (Printed Circuit Board / Assembly),0,Knowledge
Pen tablets,Tools and Equipment,,Tools and technology,,Pen tablets,1,Tools and technology
PeopleNet,Other,Work context,Tools and technology,HR Software,PeopleNet,0,Tech - Software
Peripherally inserted central catheters PICC,Tools and technology,Tools and technology,Tools and technology,,Peripherally inserted central catheters PICC,0,Tools and technology
Perl (Practical extraction and reporting language),Knowledge,Knowledge,Tools and technology,,Perl (Practical extraction and reporting language),0,Tech - Software
Perl Shell,Tools and technology,Tools and technology,Tools and technology,,Perl Shell,0,Tech - Software
Personal protective clothing,Tools and technology,Tools and technology,Tools and technology,,Personal protective clothing,0,Tools and technology
Personnel lifts,Tools and technology,Tools and technology,Tools and technology,,Personnel lifts,0,Tools and technology
Personnel management software,Technologies,,Tools and technology,,Personnel management software,1,Tech - Software
Pharmacy management software,Tools and technology,Tools and technology,Tools and technology,,Pharmacy management software,0,Tech - Software
PhoneGap,Tools and technology,Tools and technology,Tools and technology,,Adobe PhoneGap,0,Tech - Software
Photo editing software,Tools and technology,Tools and technology,Tools and technology,,Photo editing software,0,Tech - Software
Photocopying equipment,Tools and technology,Tools and technology,Tools and technology,,Photocopying equipment,0,Tools and technology
PHP,Knowledge,Knowledge,Tools and technology,,PHP Hypertext Preprocessor,0,Tech - Software
Physical Demands Analysis (PDA),Other,?,Knowledge,Methodology for type of job-task related analysis and quantifying something,Physical Demands Analysis (PDA),0,Knowledge
PhysioGraphic,Technologies,,Knowledge,,PhysioGraphic,1,Knowledge
Pianos,Tools and technology,Tools and technology,Tools and technology,,Pianos,0,Tools and technology
Piezometers,Tools and technology,Tools and technology,Tools and technology,,Piezometers,0,Tools and technology
Pin gauges,Tools and technology,Tools and technology,Tools and technology,,Pin gauges,0,Tools and technology
Pinball machines,Tools and technology,Tools and technology,Tools and technology,,Pinball machines,0,Tools and technology
Ping Identity,Tools and technology,Tools and technology,Tools and technology,,Ping Identity,0,Tech - software
Pinwheels,Tools and technology,Tools and technology,Tools and technology,,Pinwheels,0,Tools and technology
Pipe lasers,Tools and Equipment,,Tools and technology,,Pipe lasers,1,Tools and technology
Pipe threaders,Tools and technology,Tools and technology,Tools and technology,,Pipe threaders,0,Tools and technology
Pipe wrenches,Tools and technology,Tools and technology,Tools and technology,,Pipe wrenches,0,Tools and technology
Pipelayers,Tools and technology,Tools and technology,Tools and technology,,Pipelayers,0,Tools and technology
Pivot Tables,Tools and technology,Tools and technology,Knowledge,?,Pivot Tables,0,Knowledge
Pizza ovens,Tools and technology,Tools and technology,Tools and technology,,Pizza ovens,0,Tools and technology
PL/SQL,Knowledge,Knowledge,Tools and technology,,Procedural Language for SQL (PL/SQL),0,Tech - Software
Planisware,Tools and technology,Tools and technology,Tools and technology,,Planisware,0,Tech - Software
Planning,Skills,Skills,Skills,,Planning,0,Skills
PlanSwift,Tools and technology,Tools and technology,Tools and technology,,PlanSwift,0,Tech - Software
Plant maintenance software,Tools and technology,Tools and technology,Tools and technology,,Plant maintenance software,0,Tech - Software
